Original Transcription,New transcription,Detected Intent,New Intent
انٹرنیشنل ٹرانسفر,International transfer.,unknown,send_money
Transfer two thousand to Mr. Azhar.,Transfer 2000 to Mr. Azhar.,send_money,send_money
پانچ لاکھ دے دو,ظفراللہ کو پانچ لاکھ بھیجو.,send_money,send_money
اوپن ٹو یو بی ایل ایف,Open to UBL F,unknown,unknown
How are you?,How are you,unknown,unknown
Send two thousand from my business account to Noman Afzal.,Send 2000 from my business account to Noman Afzal.,send_money,send_money
Send 2000 from my other account to Noman Afzal.,Send 2000 from my other account to Noman Afzal.,send_money,send_money
Send 14210 from Saicommerce to Noman Afzal.,"Send 14,210 from Saicommerce to Noman Afzal.",send_money,send_money
Send 14210 rupees to Noman Afzal from Sycombers account.,"Send 14,210 rupees to Noman Afzal from Sycombers account.",send_money,send_money
Send 14210 rupees to Saicomverse.,"Send 14,210 rupees to Cycomverse.",send_money,send_money
"From account Saicomverse, send 14,210 rupees to Noman Afzal.","From account Saqib Wars, send 14,210 rupees to Noman Afzal.",send_money,send_money
Send 14210 rupees to Noman Afzal.,Send 14210 rupees to Noman Afzal.,send_money,send_money
سین ٹوئنٹی تھری تھاؤزنڈ تو سلمی بیگ,Send 23000 to Salma Baig.,send_money,send_money
سین ٹوئنٹی تھری تھاؤزنڈ ٹو سائیکو مرس,Send 23000 to Saicommerce.,send_money,send_money
سین 23436 تو سائیکومبرز,Send 23436 to Saicommerce.,unknown,send_money
سن 23 4362 سائیکومورس,Send 23436 to Saicommerz.,unknown,send_money
Send 500 to Salma Beg.,Send 500 to Salma Baig.,send_money,send_money
Show me the statement of November 2025.,Show me the statement of November 2025.,download_statement,download_statement
Show me the statement for November 2025.,Show me the statement for November 2025.,download_statement,download_statement
راست آئی ڈی,Rast ID,unknown,unknown
Send fifty thousand to Farwa Kamber Rost.,Send 50000 to Farwa Kamber Raza.,send_money,send_money
ڈی لنک راست آئی ڈی,ڈی لنک راست آئی ڈی,unknown,unknown
Send one rupees to Farwa Kambar Rost.,Send 1 rupees to Farwa Qambar Dost.,send_money,send_money
Send three million from account number 3203201182 MCB Masroor.,Send 3 million from account number 3203201182 MCB Masroor.,pay_bill,send_money
سین تھرٹی لیکس ٹو ایم سی بی مسرور,Send 30 lakhs to MCB Masroor.,send_money,send_money
Send money to Asim Ali.,Send money to Asim Ali.,send_money,send_money
"Hey, tell me how can I get my banking statement?","Hey, tell me how can I get my banking statement?",download_statement,download_statement
شجاعت,شجاعت,unknown,unknown
Airlink,Airlink.,unknown,topup
پیر اویل خان ایٹی ٹو تھاؤزنڈ روپیز,پیر حویل خان ایٹی ٹو تھاؤزنڈ روپیز.,send_money,send_money
سینڈ منی ملے موبائل,Send money Malik Mobile.,unknown,send_money
سیکو ہوٹل,سی کوٹل.,unknown,unknown
پے راویل خان ایٹی ٹو تھاؤزن روپیز,Pay Ravel Khan 82000 rupees.,send_money,send_money
"If there is no speech in the audio, return empty text.",بشیر احمد کو پانچ ہزار روپے بھیجیں۔,mobile_topup,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
پیر اویل خان بہت سی ہزار روپے,پیر عویل خان بہس ہزار روپے.,send_money,unknown
آئیے مومیر لشاری لسٹنگ,آئی ایمومیر لشاری لسٹنگ.,unknown,unknown
لیسٹنگ,Listing,unknown,unknown
پہ راویل خان پندرہ ہزار پانچ سو روپے۔,پہ راویل خان بہس ہزار روپے.,send_money,send_money
Show me my bill of FESCO.,Show me my bill of FESCO.,pay_bill,pay_bill
Send money to Noman.,Send money to Noman.,send_money,send_money
Transfer 500 rupees to this JazzCash account 03270372409.,Transfer 500 rupees to this JazzCash account 03270372409.,send_money,send_money
Transfer 500 to this JazzCash account.,Transfer 500 to this JazzCash account.,send_money,send_money
مہباز شہباز کو چھ ہزار بھیج دو۔,مہباز شہباز کو چھ ہزار بھیج دو.,send_money,send_money
آپ انی گاؤنٹ,اپنی اکاؤنٹ.,unknown,unknown
مہربان شہباز کو چھ ہزار بھیج دو۔,مہتاب شہباز کو چھ ہزار بھیج دو۔,send_money,send_money
ملیک موبائل سینڈ ٹو فائیو تھاؤزنڈ روپیز,Malik Mobile send to 5000 rupees.,send_money,send_money
Send ten rupees to Ruhul Hasan in EasyPaisa account.,Send 10 rupees to Ruhul Hasan in EasyPaisa account.,send_money,send_money
Tell me about this UBL.,Tell me about this UBL.,unknown,unknown
Send Skandar Bashir five rupees only.,Send Sikandar Bashir 5 rupees only.,send_money,send_money
"If there is no speech in the audio, return empty text.",حسنین.,mobile_topup,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",حسنین کو پانچ ہزار روپے بھیج دیں۔,pay_bill,send_money
Hello,Hello,unknown,unknown
Send Sikandar Bashir five rupees only.,Send Sikandar Bashir 5 rupees only.,send_money,send_money
سن دو سو۔,Send 200.,unknown,send_money
Send money five lakh to Dost Muhammad UBL account.,Send money 5 lakh to Dost Muhammad UBL account.,send_money,send_money
Send one hundred rupees Muhammad Sajid.,Send 100 rupees Muhammad Sajid.,send_money,send_money
بھائی کی حالت ٹھیک ہے؟,بھائی کیا حال ہے طبیعت سے ٹھیک ہے؟,unknown,unknown
اگر کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔,,send_money,
محمد درشد سعید کو ایک لاکھ روپے بھیجنے ہیں۔,محمد ارشد سعید کو ایک لاکھ روپے بھیجنے ہیں۔,send_money,
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپ، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,Please,send_money,
"If there is no speech in the audio, return empty text.",پانچ ہزار روپے.,mobile_topup,
Hello,Hello,unknown,
"If there is no speech in the audio, return empty text.",بشیر احمد کو پانچ ہزار روپے بھیجیں.,mobile_topup,
How much is my balance? Show my balance.,How much is my balance? Show my balance.,unknown,
وہاج بشیر,وہاج بشیر,unknown,
"Hello AI, please send this payment to Abdul Rehman for MBL account.","Hello AI, please send this payment to Abdur Rehman for MBL account.",send_money,
کار لون کے لیے کیسے اپلائی کریں؟,کار لون کے لیے کیسے اپلائی کریں?,unknown,
I want to send money to Fresh and Chick Food.,I want to send money to Fresh and Chick Food.,send_money,
پے ٹو تھاؤزن نائن ہنڈرڈ اینڈ ٹو زیشان احمد,Pay 2922 Zeeshan Ahmed.,send_money,
Can you send one thousand rupees to Sidra Batool from my payee?,Can you send 1000 rupees to Sidra Batool from my pays?,send_money,
پے 2922 زیشان حیدر,Pay 2922 Zeeshan Haider.,unknown,
Can you please pay my electricity bill?,Can you please pay my electricity bill?,pay_bill,
I want to send money to SSPS.,I want to send money to SSPS.,send_money,
Can you please,Can you please,unknown,
میں فریش اینڈ چیک فوڈ کو پیسے بھیجنا چاہتا ہوں۔,میں فریش اینڈ چیک فوڈ کو پیسے بھیجنا چاہتا ہوں.,send_money,
I want to send money to fresh and chick food.,I want to send money to Fresh and Chick Food.,send_money,
میرا بیلنس,My balance.,mobile_topup,
Show my balance.,Show my balance.,unknown,
Send one rupees to Faizan Ali Sada Pay account.,Send one rupees to Faizan Ali Sada Pay account.,send_money,
کتابیں نہیں ہیں۔,کتابیں نہیں دیا.,unknown,
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,
عبدالوحید اکاؤنٹ,عبدالوحید اکاؤنٹ.,unknown,
Send 500 rupees to Tahmina Ijaz Sada pay account.,Send 500 rupees to Tahmina Ijaz's SadaPay account.,send_money,
Please transfer one lakh to Wara Sibtasam.,Please transfer one lakh to Arif Ibtasam.,send_money,
Increase my payment limit.,Increase my payment limit.,pay_bill,
Limits,Limits,unknown,
یو بی ایل کارڈ لون,UBL کار لون.,mobile_topup,
یہی مجھے میری ٹرانزیکشن بتاؤ,یہی مجھے میری ٹرانزیکشن بتاؤ۔,download_statement,
Send money to Zain Nayyar.,Send money to Zain Nayab.,send_money,
What is my last transaction?,What is my last transaction?,unknown,
Tell me my last two transactions.,Tell me my last two transactions.,download_statement,
Send payment,Send payment.,unknown,
یوگن پے مائگریٹ کارڈ بل,You can pay my credit card bill.,pay_bill,
اسلام علیکم بھائی جی کیا حال ہے؟,السلام علیکم باجی کیا حال ہے?,unknown,
سمیر کمار، چیک دیس اکاونٹ,سنیل کمار چیک دس اکاؤنٹ.,unknown,
سورین سینمٹی,سوریہ اسلام دین.,unknown,
میں نے ابھی جو پیمنٹ ٹرانسفر کی ہے، اس کا سکرین شاٹ چاہیے۔,میں نے ابھی جو پیمنٹ ٹرانسفر کی ہے اس کا اسکرین شاٹ چاہیے۔,send_money,
میں نے آخری بار ابھی یہ جو ٹرانزیکشن کی ہے جو میں پیسے بھیجے ہیں اس کا سکرین شاٹ چاہیے۔,میں نے آخری بار ابھی یہ جو ٹرانزیکشن کی ہے جو پیسے بھیجے ہیں اس کا اسکرین شاٹ چاہیے.,download_statement,
پہلاں دسیں موبائل ٹاپ اپ تو شوائب,I want to send mobile top-up to Shoaib.,mobile_topup,
ہاں,Haan.,unknown,
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,
"Hello, I want to send some money mobile top-up to Shoaib.","Hello, I want to send some money mobile top-up to Shoaib.",mobile_topup,
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,
"Hello, I want to send some money to Shoaib.","Hello, I want to send some money to Shoaib on mobile top-up.",send_money,
لندن، لندن,دندار.,unknown,
Open Kainat account number.,Open Kainat Zafar account number.,download_statement,
I need to make,I need to make,send_money,
I need to make a transfer.,I need to make a transfer.,send_money,send_money
میری اسٹیٹمنٹ,میرا سٹیٹمنٹ.,download_statement,download_statement
ٹرانسفر روپے سات سو تیس محمد اویس ملک یو بی ایل بینک,Transfer rupees 730 to Muhammad Awais Malik UBL Bank.,send_money,send_money
ٹرانسفر آل اماؤنٹ ٹو محمد وسیم ملک یو بی ایل,Transfer all amount to Muhammad Ilyas Malik UBL.,send_money,send_money
جیز پیکج,Jazz package.,unknown,topup
کوئک پے,QuickPay,unknown,unknown
Send money.,Send money.,unknown,send_money
پیمینٹ ٹرانسفر,Payment transfer,send_money,send_money
Send one hundred rupees to Muhammad Sajid.,Send 100 rupees to Muhammad Sajid.,send_money,send_money
Open the dashboard.,Open the dashboard.,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
Send one rupees to Moazam Khan.,Send one rupees to Mauzam Khan.,send_money,send_money
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
"If there is no speech in the audio, return empty text.",حسن کو پانچ ہزار روپے بھیج دیں۔,mobile_topup,send_money
سین پچاس روپے تو سید محمد شہریار,Send 50 rupees to Syed Muhammad Shehryar.,send_money,send_money
بلال کو ایک روپیہ بھیج دو۔,بلال کو ایک روپیہ بھیج دو.,send_money,send_money
Send one rupees to Moazam Khan.,Send one rupees to Mauzam Khan.,send_money,send_money
"Send one rupees to Awais Malik, UBL.",Send one rupees to Awais Malik UBL.,send_money,send_money
ٹرانسفر ٹو محمدیساق اکاؤنٹ,Transfer to Muhammad Ishaq account.,send_money,send_money
ہیلو، کیا حال چال ہیں؟ ٹھیک ہیں؟,ہیلو کیا حال چال ہیں؟,unknown,unknown
Send one rupees to Awais Malik.,Send one rupees to Awais Malik.,send_money,send_money
اس ہاکو,اسحاق.,unknown,unknown
سفیان,سفیان,unknown,unknown
"If there is no speech in the audio, return empty text.",,mobile_topup,
ممدلی کمالیا,ممدلی کمالیا.,unknown,unknown
دس روپے محمد منیب اختر جیز کیش میں بھیج دو۔,دس روپے محمد منیب اختر جیز کیش میں بھیج دو۔,send_money,send_money
شو مائی بینک اسٹیٹمنٹ,Show my bank statement,download_statement,download_statement
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپس، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,پانچ ہزار روپے.,send_money,unknown
فاطمہ عمار,فاطمہ عمار,unknown,unknown
فاطمہ مار,فاطمہ عمار,unknown,unknown
شازیب,شازیب,unknown,unknown
یہ علی,یہ علی.,unknown,unknown
پیمانٹ ٹرانسفر,Payment transfer.,unknown,send_money
شگفتہ سحر,شگفتہ سحر,unknown,unknown
ابو ناصر,ابو ناصر,unknown,unknown
شکلا بی بی کو ایک روپے بھی دو۔,شکیلہ بی بی کو ایک روپیہ بھی دو۔,send_money,send_money
Open account statement.,Open account statement,download_statement,download_statement
Hello,Hello,unknown,unknown
ساکب ہمایوں سینڈ منی,ساقب ہمائیوں سینڈ منی.,unknown,send_money
سابقہ بریار سینڈ منی ٹرانسفر۔,ساڑھ کر بھیجنے پیس.,send_money,send_money
سکپ ہمایوں سینڈ منٹینر پیس,Saqib Humayun send money ten rupees.,unknown,send_money
سککوں مائی چنڈ منی ٹینر ویر۔,سو کوڈو مانی ٹرانسفر.,unknown,send_money
سب کو بمایوں زید ٹینڈر فیس۔,سب کو بھجو دیں دس روپے۔,pay_bill,send_money
سینڈ ففٹی تھاؤزنڈ ٹو سید علی اکمل یو بی ایل اکاؤنٹ,Send 50000 to Syed Ali Akmal UBL account.,send_money,send_money
سائنسی,Send fifty,unknown,send_money
حسن حارث بٹ، سینڈ منی ٹین روپیز,Hassan Harat Butt send money 10 rupees.,send_money,send_money
"If there is no speech in the audio, return empty text.",,mobile_topup,
حسن حارث بٹ پینٹ ٹین روپیز,Usman Khalid Butt friend ten rupees.,send_money,send_money
ایکٹیو اے ٹی ایم کارڈ,Active ATM card.,unknown,unknown
حسن بھٹ,حسن بھٹ,unknown,unknown
احمد زلیم کو نو لاکھ پچاس ہزار سینڈ کرنی ہیں ایچ بی ایل میں۔,احمد سلیم کو نو لاکھ پچاس ہزار سینڈ کر دیں ایچ بی ایل میں۔,send_money,send_money
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپ، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,,send_money,
Can you please transfer 5000 to Syeda Rida Batool Kazmi?,Can you please transfer 5000 to Syeda Rida Batool Kazmi?,send_money,send_money
Please pay PTCL bill.,Please pay PTCL bill.,pay_bill,pay_bill
"If there is no speech in the audio, return empty text.",,mobile_topup,
Transfer,Transfer,unknown,send_money
بل پیمنٹ,Bill payment,pay_bill,pay_bill
ٹرانسفر فنڈ,ٹرانسفر فنڈ.,unknown,send_money
ٹرانسفر فنڈ,Transfer fund.,unknown,send_money
ٹرانسفر فنڈ,ٹرانسفر فنڈ,unknown,send_money
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے پیسہ بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: پیسہ کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپس، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,,send_money,
سن روپیز فائیو ٹو عمر نیا پے اکاؤنٹ,Send rupees 5 to Umair Nayaab account.,send_money,send_money
"If there is no speech in the audio, return empty text.",حسنین کو پانچ ہزار روپے بھیج دیں۔,mobile_topup,send_money
Send ten rupees to Muhammad Umair.,Send ten rupees to Muhammad Umair.,send_money,send_money
کیا آپ چیک کر سکتے ہو کہ میرا کارڈ کام کر رہا ہے یا نہیں کر رہا؟,کیا آپ چیک کر سکتے ہو کہ میرا کارڈ کام کر رہا ہے کہ نہیں کر رہا؟,unknown,unknown
Can you check if my card is working or not?,Can you check if my card is working or not?,unknown,unknown
Can you check if my card is working or not?,Can you check if my card is working or not?,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"If there is no speech in the audio, return empty text.",Please send five thousand rupees to Ali.,mobile_topup,send_money
Mobile payment,Mobile payment.,pay_bill,topup
Send hundred rupees to Muhammad.,Send 100 rupees to Muhammad.,send_money,send_money
سندارس ہنڈرڈ ٹو محمد,Send Rs 100 to Muhammad.,unknown,send_money
"Hello. Hi, hello.","Hello. Hi, hello.",unknown,unknown
"If there is no speech in the audio, return empty text.",بجلی کا بل ادا کریں.,mobile_topup,pay_bill
"Hello, how are you?","Hello, اسلام علیکم.",unknown,unknown
Send forty thousand rupees to Zeeshan Haider.,Send 40000 rupees to Zeeshan Haider.,send_money,send_money
راج محمد کو دو سو روپے بھیجنے ہیں۔,راج محمد کو دو سو روپے بھیجنے ہیں۔,send_money,send_money
این دوہنڈڈ تو راج محمد,Send 200 to Raj Muhammad.,unknown,send_money
سینٹ ٹو ہنڈرڈ توراج محمد,Send 200 to Raj Muhammad.,unknown,send_money
Send one lakh rupee to Amar Zain.,Send one lakh rupee to Ammar Hussain.,send_money,send_money
اماراں سینکرو پیس اینڈ کرو,ہمارا سینکو روپے سینکو.,unknown,unknown
سینڈ روپیہ تھرو امار حسین,Send rupees to Ammar Hussain.,send_money,send_money
"Hello, how to transfer easy paisa?","Hello, how to transfer EasyPaisa?",send_money,send_money
چالیس ہزار روپے شام کو ٹرانسفر کر دو۔,چالیس ہزار روپے شام کو ٹرانسفر کر دو۔,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
Send money.,Send money,unknown,send_money
