Detected Intent,Original Transcription
unknown,بسم اللہ الرحمن الرحیم
unknown,بیٹھے ہوئے ہیں۔
unknown,مجھے بتاؤ کہ زکات ایکزیمپشن کہاں سے میں دیکھ سکتا ہوں؟
unknown,Where is the receipt of invoice that I have sent to Madhu Shahzad?
unknown,Hello
unknown,منی ٹرانسفر
unknown,منی ٹرانسفر
unknown,Check what is my IBAN number.
unknown,یہ نیم خان
unknown,بے وقاس سلیم
unknown,How are you?
unknown,Hello
unknown,How to link another account?
unknown,How much is my total amount in my bank account?
unknown,How much is total amount in my bank account?
unknown,ہو مچ سٹور۔
unknown,جواب۔
unknown,السلام علیکم، ہاو آر یو؟
unknown,My detail
unknown,پھر ہم اس میں ڈالیں گے۔
unknown,ایل ڈی ایم کی منیجمنٹ میں کیا آ سکتا ہوں؟
unknown,ایٹیم کارڈ منیجمنٹ
unknown,پیسے سینڈ کرنے ہیں
unknown,اسماعیل شہزاد
unknown,مائز فہیم بٹ
unknown,حسیب
unknown,حسیب ٹرانزیکشنز
unknown,010
unknown,ہے سین منی
unknown,Transfer the money.
unknown,بلا شو
unknown,UBL Car Loan
unknown,UBL car loan
unknown,میوچل فنڈنگ کیسے کی جائے؟
unknown,جاز کیش
unknown,پیمینٹ تو محمد سلیم ندیم
unknown,السلام علیکم۔
unknown,بے اینیون تو سعاد اسلام
unknown,ساد اٹلانپے
unknown,سردھم پہ
unknown,Please open the JazzCash Muhammad Rizwan Rashid.
unknown,عمر مشتاق
unknown,عمر مشتاق
unknown,ایم بلال جوہان
unknown,افرا وسیم
unknown,"Hello, how are you?"
unknown,"Hello, کیا حال ہے؟"
unknown,السلام علیکم، آپ کیسے خیریت سے؟
unknown,What is my card number?
unknown,Send money
unknown,"Hello, can you please check my balance?"
unknown,Hello
unknown,What is my balance?
unknown,سن 2002 واسیا
unknown,السلام علیکم
unknown,مجھے یہ بتاؤ میں کیا کمانڈ دوں؟ تو تم مجھے بتاؤ گے کیا مدد کر سکتے ہو میرے لیے تم؟
unknown,پیمانٹ حروچ نظیر
unknown,پیمینٹ عبداللہ خالد
unknown,پیمینٹ فیضان خالد
unknown,Send a payment of 4G.
unknown,کسی کو بھیجنا۔
unknown,میرا بھیجوا۔
unknown,ہیلو آپ مجھ سے اردو میں بات کر سکتے ہو؟
unknown,Hello
unknown,Show me my balance.
unknown,سینڈے ون کروڑ تو زایگم فرید
unknown,How much is my balance?
unknown,"Hello, how are you?"
unknown,ٹرانزیکشن کرنا ہے۔
unknown,ہلو
unknown,پلیز اوپن پروفائل۔
unknown,ٹرانسفر ایکم ایگرامو مادمان
unknown,میرے اکاؤنٹ میں کتنا بیلنس ہے؟
unknown,میری اکاؤنٹ میں کتنا بیلنس ہے؟
unknown,آپ کو۔
unknown,ہاں
unknown,کڈینٹ کارڈ
unknown,Add new pay.
unknown,Add new pie.
unknown,بیلنس
unknown,Hello UBL
unknown,لاگ آؤٹ پر
unknown,Hello
unknown,سنوان پاؤزن تو وقاس امتیاز بٹ
unknown,سن ون تھاؤزنڈ تو وقاص امتیاز بٹ
unknown,سینٹ ففٹین ہنڈرڈ تو اسراورسن
unknown,Hello.
unknown,ہالو
unknown,پیسہ لو۔
unknown,How do I get alone?
unknown,صرف گلاب کے پھول ہیں۔
unknown,Credit card
unknown,گھرڈٹ کارڈز
unknown,بینک الفلاح کریڈٹ کارڈ
unknown,سنونڈرو
unknown,پی ویراست
unknown,ہیلو، ایڈ نیو پائی
unknown,Add new by.
unknown,نصیم مختار
unknown,کارڈ مینجمنٹ
unknown,کارڈ مینجمنٹ
unknown,کارڈ مینجمنٹ
unknown,Can you transfer some money?
unknown,سرج دا اکاؤنٹ ساقب بفضل
unknown,Deactivate debit card.
unknown,Deactivate ATM card.
unknown,Disable the ATM card.
unknown,King distributor
unknown,ہو منچوان ڈالر ان پاکستان۔
unknown,Send Safi.
unknown,ڈیٹیل ٹرانزیکشن
unknown,بیلنس چیک
unknown,ہیلو یو بی ایل بینک کیسے ہو؟
unknown,اوپ۔
unknown,السلام علیکم، کیا کر رہے ہو؟
unknown,آہ، کیا ہے؟
unknown,بہت۔
unknown,Send one thousand Sultan.
unknown,Hello. Send money.
unknown,سرچ محمد حسن راست آئی ڈی
unknown,سرچ محمد حسن راست آئی ڈی
unknown,ایزی پیسہ
unknown,جدہ کمپیوٹر
unknown,Hello.
unknown,طاہر
unknown,ادباد احمد رشید کے
unknown,کاشف
unknown,کاشف صفا
unknown,میرا نام آرہ بندر۔
unknown,محمد ارشد
unknown,محمد ارشد
unknown,عیاز احمد
unknown,عیاز احمد
unknown,میک اپیملک ٹو فیصل بینک
unknown,ایزی پیسہ۔
unknown,"Hey, how's you?"
unknown,What you are doing?
unknown,اکانچوں میں
unknown,مجھے اپنا بیلنس چیک آؤٹ کرنا ہے۔
unknown,فنٹرانسفر گل گارمنٹس
unknown,عاطف شہزاد
unknown,ہلو
unknown,عاطف شہزاد
unknown,ٹھیک ہے
unknown,اسد ریاض
unknown,لائٹ آن بھی سیتا میں میری پارٹی پیسے۔
unknown,بھی اینی ون
unknown,پینوں
unknown,پتہ نہیں زیادہ لوگ اس ٹائم بائل یوز کرتے ہیں اس وجہ سے۔
unknown,ڈیل ایچ پی لینووو
unknown,سیٹ ون روپیز نواب رشید سادہ پہ
unknown,اوپن بینک سٹریٹ میں
unknown,ایک روپیہ بے درزمانہ لکھو۔
unknown,"Hi, how are you?"
unknown,"Hello, it's me. How are you?"
unknown,کار لون
unknown,دارب شاہ
unknown,زارب شاہ
unknown,Send cash.
unknown,ڈیلی آن لائن اسپینڈنگ لیمٹ
unknown,نبیلہ کو کیسے سینڈ کرنا ہے؟
unknown,پے ٹرانسفر
unknown,محمد سلیمان
unknown,Transaction history
unknown,Show me my balance.
unknown,دو دالنگ آگئی
unknown,شوگبائی بیلٹ۔
unknown,ایف بی آر
unknown,بڑی ہیں
unknown,شیخ محمد علی
unknown,سینک شکیب خالد فائیو تھاؤزن.
unknown,سان شتیب خالد۔
unknown,Hello
unknown,آندو پانڈو یو آر گانڈو
unknown,Where I check my debit card PIN code?
unknown,Where I check my pin code?
unknown,آپ کے ہاتھ میں موبائل ہے۔
unknown,How do I check my PIN code?
unknown,"Hi HBL, how are you?"
unknown,اچھا، تاج کیا کہہ رہے ہیں؟
unknown,اوپن عثمان جاویدز اکاؤنٹ
unknown,سائمہ ساقب
unknown,Hello
unknown,"Hello, how is my account balance?"
unknown,"Hello, how is my account balance?"
unknown,ہی یو بیل سینڈ فور ایٹی تو داود ناصر جے ایس کیش
unknown,بینک بیلنس چیک
unknown,جیس کیش اسی پیسہ
unknown,Kindly check my current balance.
unknown,"Hello, how are you?"
unknown,یاسین خان
unknown,سند منی۔
unknown,سینڈ منی ہونیزی پیسہ
unknown,فصل شیزان
unknown,محمد اویس
unknown,IBAN account
unknown,ٹرانسفر فنڈز
unknown,ٹرانسفر فنڈز
unknown,ٹرانزیکشن ڈیٹیلز
unknown,NFC
unknown,NFC of ATM card
unknown,Please help me to
unknown,How to turn on NFC for card?
unknown,Open the transfer.
unknown,Send my money.
unknown,میرا بینک اکاؤنٹ بیلنس کتنا ہے؟
unknown,Hello.
unknown,سن منی، احمد گل
unknown,علی گار۔
unknown,سادق ویلڈنگ ورکس
unknown,بناس
unknown,چیک مائی بیلنس
unknown,ٹرانسفر فنڈ
unknown,علی حیدر
unknown,غلام مصطفیٰ اے بی ایل
unknown,I want to add a new beneficiary.
unknown,یہزکیش
unknown,سادق ویلڈنگ ورکس
unknown,Delta
unknown,سادق ویلڈنگ ورکس
unknown,"Hello, how are you doing?"
unknown,یو بی ایل کار لون کیلکولیٹر
unknown,Send money.
unknown,ادنا رسول
unknown,Notification setting
unknown,دمشیرہ تریٹرز
unknown,تم شیرداز عامشید.
unknown,بسم اللہ الرحمن الرحیم
unknown,پی مناہل مبشر
unknown,ساری۔
unknown,سردی ہے عائشہ
unknown,How can I redeem my profit of mutual funds?
unknown,How can I redeem my profit of mutual funds?
unknown,Fund transfer
unknown,ٹرانسفر فنڈ
unknown,اماؤنٹ سنڈ غلام مرتضی.
unknown,Our voice assistant is new.
unknown,ٹرانزیکشن لسٹ نکالیں۔
unknown,Check my balance.
unknown,"Hello, are you listening to me?"
unknown,Hello
unknown,اب آؤٹ لیمٹ کیسے بڑھاتے ہیں؟
unknown,پہلے پائی۔
unknown,پینتیسوں نیس مہینوں سینڈ کر دیو.
unknown,Hello
unknown,پانچ سو پچاس۔
unknown,ہلو، اماؤنٹ بتاؤ میرا۔
unknown,بیلنس، چیک بیلنس
unknown,جیز کیش۔
unknown,جیز کیش کرنا ہے۔
unknown,سچ احشام احمد
unknown,السلام علیکم۔
unknown,سعدیہ اسلم
unknown,السلام علیکم یہ اولیو پلاسٹک ہاؤس ہے، پیسے بھیج دیں۔
unknown,بڑا دکھ
unknown,میرا کرنٹ بیلنس کیا ہے؟
unknown,What is my current balance?
unknown,دنگی گابچ۔
unknown,What is my current balance?
unknown,چیک سٹیٹمنٹ
unknown,ٹرانسفر ٹو مہک
unknown,زبیر خان اسکراب ڈیلر
unknown,حسین علی
unknown,UBL face lock option
unknown,"Hello, what is my current amount?"
unknown,چیک اکاؤنٹ لیمٹ
unknown,سینڈ منی محمد ریحان
unknown,Nereye veremeyeceğim?
unknown,Transaction history
unknown,Show my balance.
unknown,تھوڑا روٹی کھالو۔
unknown,انٹرنیشنل ٹرانسفر
unknown,اوپن ٹو یو بی ایل ایف
unknown,How are you?
unknown,سین 23436 تو سائیکومبرز
unknown,سن 23 4362 سائیکومورس
unknown,راست آئی ڈی
unknown,ڈی لنک راست آئی ڈی
unknown,شجاعت
unknown,Airlink
unknown,سینڈ منی ملے موبائل
unknown,سیکو ہوٹل
unknown,آئیے مومیر لشاری لسٹنگ
unknown,لیسٹنگ
unknown,آپ انی گاؤنٹ
unknown,Tell me about this UBL.
unknown,Hello
unknown,سن دو سو۔
unknown,بھائی کی حالت ٹھیک ہے؟
unknown,Hello
unknown,How much is my balance? Show my balance.
unknown,وہاج بشیر
unknown,کار لون کے لیے کیسے اپلائی کریں؟
unknown,پے 2922 زیشان حیدر
unknown,Can you please
unknown,Show my balance.
unknown,کتابیں نہیں ہیں۔
unknown,عبدالوحید اکاؤنٹ
unknown,Limits
unknown,What is my last transaction?
unknown,Send payment
unknown,اسلام علیکم بھائی جی کیا حال ہے؟
unknown,سمیر کمار، چیک دیس اکاونٹ
unknown,سورین سینمٹی
unknown,ہاں
unknown,لندن، لندن
unknown,جیز پیکج
unknown,کوئک پے
unknown,Send money.
unknown,Open the dashboard.
unknown,ہیلو، کیا حال چال ہیں؟ ٹھیک ہیں؟
unknown,اس ہاکو
unknown,سفیان
unknown,ممدلی کمالیا
unknown,فاطمہ عمار
unknown,فاطمہ مار
unknown,شازیب
unknown,یہ علی
unknown,پیمانٹ ٹرانسفر
unknown,شگفتہ سحر
unknown,ابو ناصر
unknown,Hello
unknown,ساکب ہمایوں سینڈ منی
unknown,سکپ ہمایوں سینڈ منٹینر پیس
unknown,سککوں مائی چنڈ منی ٹینر ویر۔
unknown,سائنسی
unknown,ایکٹیو اے ٹی ایم کارڈ
unknown,حسن بھٹ
unknown,Transfer
unknown,ٹرانسفر فنڈ
unknown,ٹرانسفر فنڈ
unknown,ٹرانسفر فنڈ
unknown,کیا آپ چیک کر سکتے ہو کہ میرا کارڈ کام کر رہا ہے یا نہیں کر رہا؟
unknown,Can you check if my card is working or not?
unknown,Can you check if my card is working or not?
unknown,سندارس ہنڈرڈ ٹو محمد
unknown,"Hello. Hi, hello."
unknown,"Hello, how are you?"
unknown,این دوہنڈڈ تو راج محمد
unknown,سینٹ ٹو ہنڈرڈ توراج محمد
unknown,اماراں سینکرو پیس اینڈ کرو
unknown,Send money.
unknown,ٹیوارس کین کرنا ہے
unknown,تم اس سے مانگے۔
unknown,یہ کس لیے بنایا گیا ہے؟ مجھے سمجھ نہیں آرہی ہے اس چیز کی جو وائس انہوں نے اے آئی دے دی ہے۔
unknown,مسنون
unknown,اسنیں۔
unknown,How to activate my new Visa debit card?
unknown,میرا بینک اکاؤنٹ نمبر
unknown,یونیفورم
unknown,Complete account number.
unknown,Hello
unknown,پشاور بیٹری
unknown,سکرین شاٹ
unknown,اوپن نیو پے
unknown,Drive Zone UBL
unknown,پیر تو عبداللہ
unknown,یو بی ایل کریڈٹ کارڈ
unknown,Hello. Hello. Hi.
unknown,جاز کیش، موبی کیش
unknown,محمد عبد اللہ
unknown,مانس دو سو چھاسی روپے کس چیز کے ہیں؟
unknown,Turn
unknown,خلیل الرحمن اکاؤنٹ نہیں ہے، ہو شو نہیں ہو رہا ہے۔
unknown,یو بی ایل میں ٹیب کر سکتے ہیں؟
unknown,Check my balance
unknown,Hello
unknown,دشانت ٹریڈر
unknown,"Hello, how are you?"
unknown,QuickPay
unknown,Please check my balance.
unknown,میری ٹرانزیکشن کتنی ہوئی ہیں اس مہینے؟
unknown,Cancel
unknown,Hello
unknown,Hello
unknown,یو بیل
unknown,Can you please open the history?
unknown,جیز پیکج
unknown,احمد کو
unknown,فراموشمان علی
unknown,سینٹمنٹ تو عثمان علی
unknown,بسم اللہ الرحمن الرحیم
unknown,جاز کیش
unknown,جیز کیش
unknown,پہلے آنا پہلے آنا
unknown,میرے اکاؤنٹ میں بیلنس کتنا ہے؟
unknown,میرے اکاؤنٹ میں بیلنس کتنا ہے؟
unknown,رضا موبائل
unknown,نصیم مختار اکاؤنٹ
unknown,فنڈ ٹرانسفر
unknown,پیمینٹ سینڈ کرنی ہے۔
unknown,محمد بوٹا
unknown,Send money Muhammad Bhutta.
unknown,Show me all of my beneficiaries.
unknown,پیسے ٹرانسفر کرو
unknown,پتہ دو بار
unknown,Hello
unknown,Show my dashboard.
unknown,اوپن وجاہت ٹریڈرز
unknown,اوپن وجار ٹریڈرز
unknown,اس طرح سے بولے
unknown,پانی ڈالنا ہے
unknown,مجھے سمجھ نہیں آئی اس کمانڈ کی یہ کیا چیز ہے۔
unknown,Can you dial the call center?
unknown,Show me my QR.
unknown,اجمل رضا جائیدسکاؤنٹ
unknown,بہت شکریہ
unknown,What about the insurance?
unknown,Open the my current balance.
unknown,سبحانی
unknown,Hello.
unknown,آمنہ وارث
unknown,Send one thousand only.
unknown,اکاؤنٹ نمبر
unknown,is open
unknown,"Hey, how are you?"
unknown,Check my balance please.
unknown,Can you tell me what's my balance?
unknown,My balance
unknown,لاز ڈیبٹ
unknown,UBL Funds. What is that?
unknown,HBL funds
unknown,money transfers
unknown,کیا حال ہے؟ کیا کیا کام کر سکتے ہو تم؟
unknown,ہیلو، کیا حال ہے؟
unknown,لیمٹ کیسے بڑھے گی؟
unknown,لیمٹ کیسے بڑھے گی؟
unknown,Thirty rupee donation to Dawat-e-Islami donations.
unknown,پے ڈونیشن ڈھاوہ دی اسلامیہ ڈونیشنز
unknown,کارلون
unknown,کارلون
unknown,کلا
unknown,Hello
unknown,Show me my status.
unknown,Hello
unknown,جفد سلیم
unknown,محمد سلیم
unknown,محمد سلیم
unknown,ساقب
unknown,ناغری مارو۔
unknown,"Hey, you okay?"
unknown,Transfer
unknown,کیا حال ہے؟ کوئی ٹھیک۔
unknown,Fifteen rupees
unknown,پچیس ہزار
unknown,امد منیب
unknown,ابن منی۔
unknown,انیس
unknown,Transfer one
unknown,How can you help me?
unknown,یہ میرے پاس مائنس کیوں دکھا رہا ہے پیسے؟
unknown,How can you help me?
unknown,آپ میں پیسے سینڈ کرکے واپس نکالنے کا کیا مطلب؟
unknown,ایک سو نبوے کا کیا آ سکتا ہے؟
unknown,کسون نمبر پر کیا آ سکتا ہے؟
unknown,اس پیسوں کا کیا کر سکتے ہیں ہم؟
unknown,Show me the jazz packages.
unknown,پاسپورٹ ون روپیہ۔
unknown,ہیجوبیل
unknown,ہم دان
unknown,میری گاہست ٹرانزیکشن
unknown,عطیف خان
unknown,سلمان خان
unknown,فنڈز ٹرانسفر
unknown,السلام علیکم
unknown,Hello
unknown,Show me my balance.
unknown,How to get credit card?
unknown,گورنمنٹ ویب سائٹ
unknown,Hello
unknown,بلپڈ
unknown,ہلو میرے اکاؤنٹ میں بتائیں بیلنس کتنا ہے؟
unknown,Open UBL Bank.
unknown,I love you.
unknown,Hello UBL
unknown,How many accounts do I have in UBL?
unknown,کار فنانس
unknown,How much is my balance?
unknown,How much my balance?
unknown,کریڈٹ کارڈ
unknown,ڈیبیٹ کارڈ
unknown,ڈیبیٹ کارڈ اپلائی کرنے کے لیے کیا کرنا ہے؟
unknown,I want to apply new debit card.
unknown,Apply debit card.
unknown,ہاں
unknown,ہاں، ہاں.
unknown,ہیلو یہ یو بی ایل بینک کا جو کارڈ ہوتا ہے ایٹریم کارڈ یہ کیسے ایکٹیویٹ ہوتا ہے؟
unknown,پانجی
unknown,"Hey, can you do a"
unknown,Hello.
unknown,"Hello, how are you?"
unknown,Go to home
unknown,"Hello, transfer"
unknown,اکاؤنٹ بیلنس کتنا ہے؟
unknown,بینک اسٹرمن بتاؤ
unknown,لاہور
unknown,"Hey, hey."
unknown,شو میک ہونڈ بیلنس
unknown,شہومی بہت اکاؤنٹ
unknown,عادل خان ایزی پیسہ
unknown,عادل خان
unknown,Transfer money
unknown,Hello UBL.
unknown,Hello
unknown,پلاوے دا خطور سانگھ۔
unknown,سن فائیو ہنڈرڈ تو حارث زہیرون جاز کیش
unknown,Open my transactions.
unknown,Hello
unknown,Hello
unknown,عمرہ نے ایچ بی ایل
unknown,"Hi, can you show the balance?"
unknown,ایک جاز کیش کرنا ہے۔
unknown,سجاد کمال حیدر
unknown,Check my balance please. What is my balance?
unknown,Check my balance please.
unknown,ملازمتیں۔
unknown,Hello
unknown,السلام علیکم
unknown,One thousand
unknown,ہی یو بی ایل
unknown,ٹین تھاؤزنڈ
unknown,Send Harris money.
unknown,باقی ہو۔
unknown,موبائل لوڈ
unknown,موبائل لوڈ
unknown,Send
unknown,آپ نے کھانی ہے؟
unknown,شو بزنز
unknown,شو مائی اکاؤنٹ بیلنس
unknown,شو می اکاؤنٹ بیلنس
unknown,میں یہی۔
unknown,Money transfer
unknown,کار
unknown,سید ابوذر
unknown,پانچ ہزار۔
unknown,آج میرے پاس کتنے پیسے ہیں؟
unknown,آج میرے پاس
unknown,Send one rupee.
unknown,"Hello AI, how's you?"
unknown,"Hello, how's you?"
unknown,پیمٹ سینٹ راس آئی ڈی
unknown,حمید
unknown,حامد
unknown,"Hello, how much my balance?"
unknown,مجھے میرا بیلنس بتاؤ کتنا ہے؟
unknown,میرے اکاؤنٹ میں ابھی کتنے پیسے پڑے ہیں؟
unknown,One rupee.
unknown,ہلو
unknown,ہائے جی ڈبلیو۔
unknown,Transfer
unknown,آن لائن ٹرانزیکشن
unknown,مریم تمہیں
unknown,Show me my balance.
unknown,ہیلو۔
unknown,پیسے جا رہے ہیں
unknown,چیک بیلنس
unknown,Hello
unknown,ہیلو، السلام علیکم
unknown,پلیز
unknown,محمد حما صفی اکاؤنٹ۔
unknown,محمد مقصود احمد۔
unknown,راتوں آئی ہے نا۔ کل آئی ہے۔
unknown,دو نمبر کو
unknown,حافظ وقار حسن
unknown,"Hello, how are you?"
unknown,Hello
unknown,میرے اکاؤنٹ میں کتنے پیسے تھے؟
unknown,"Hello, hi"
unknown,No.
unknown,وال لنک پیمنٹ
unknown,اسلام علیکم، مدثر۔
unknown,والنک پیمنٹ
unknown,ہلو
unknown,حمزہ اجمر
unknown,Hamza Ajmal
unknown,میرے پاس اکاؤنٹ میں کتنے پیسے ہیں؟
unknown,پراندکسن سیٹنگ
unknown,Hello
unknown,"Hello, transfer this"
unknown,Hello
unknown,Hello
unknown,Hello
unknown,یہی پیسہ
unknown,پیسے کیسے سینڈ کریں
unknown,محمد نواز اکاؤنٹ اوپن
unknown,ہلو
unknown,ہاں جی، کی حال ہے؟
unknown,Show my balance.
unknown,Transfer funds
unknown,پے تھاؤزنڈ تو شیزین
unknown,پیش ازین
unknown,آکی کدتا ہے۔
unknown,کرنٹ بیلنس
unknown,بیلنس
unknown,محمد مصطفیٰ سینڈر ٹین تھوزن PKR۔
unknown,محمد مصطفیٰ نیابی
unknown,سکسٹی تھاؤزنڈ سنتو حافشہ زہبیلی
unknown,How much balance in my account?
unknown,عمرز
unknown,میرے کھونک پرنسکتنا ہے
unknown,جاکا بیل فیسکو
unknown,یہ انیمن۔
unknown,"Hello, check my balance."
unknown,پہلے چیک میسٹرمنٹ
unknown,سینٹومنی بہنور۔
unknown,Hello.
unknown,حماد
unknown,How much money I get profit monthly?
unknown,How much money I get profit monthly?
unknown,جاز کیش ٹرانسفر
unknown,ساجدہ پروین
unknown,"Hello, how can you help me?"
unknown,کوئک پے
unknown,سینڈ فور تھاؤزنڈ۔
unknown,شیئر مائی اکاؤنٹ نمبر
unknown,ایزی پیسہ
unknown,کیا ہے؟
unknown,کیا
unknown,زاہد یو بی ایل
unknown,سیساں یو بی ایل
unknown,مومن
unknown,کیساں؟
unknown,سری۔
unknown,سینڈ منی امتیاز احمد
unknown,پیرڈو امتیاز احمد
unknown,Can you make transaction?
unknown,بنگل فلا.
unknown,Send money
unknown,ہیلو، میرا نام شومی۔
unknown,Hello
unknown,"Hello, hello, hello."
unknown,میرا اکاؤنٹ کا نام کیا ہے؟
unknown,میرا اکاؤنٹ کیا ہے، کرنٹ اکاؤنٹ ہے یا سیونگ اکاؤنٹ ہے؟
unknown,What is my account type?
unknown,What is my account type?
unknown,سمرا سحیب
unknown,سلمین توحمدرہ۔
unknown,ہمیں منی انملے گا۔
unknown,لاسٹ ٹرانزیکشن جو آئی ہے وہ شو کرواو۔
unknown,یہاں آتی ہے۔
unknown,میں پیمنٹ تو سفیان روف
unknown,Huh
unknown,Send
unknown,بنا۔
unknown,حسین حسن
unknown,Hello
unknown,ٹرانزیکشن لیمیٹ۔
unknown,انمول
unknown,کیا آپ کو پیسہ بھیجنا ہے؟
unknown,محمد حسین
unknown,زیشان
unknown,زیشان
unknown,بنگل فرہ
unknown,بلال خان
unknown,Play anyone.
unknown,پلے اینی ون
unknown,شو بیلوس
unknown,What is my balance now?
unknown,محمد وحید آرف
unknown,ماما جی
unknown,کیوں وے، کدھر ہیں؟
unknown,مانے کار
unknown,Tell me the balance.
unknown,Tell me the balance.
unknown,"Hello, hello."
unknown,نہیں بھائی پانچ۔
unknown,سیم ٹوگمستبا سادہ پے
unknown,آئیماں۔
unknown,حانگے
unknown,"Hi, how are you?"
unknown,وقاص
unknown,حبیب حسن
unknown,السلام علیکم، ہیلو
unknown,شو می بیلس
unknown,HF Traders
unknown,ایچ ایف ٹریڈرز
unknown,سنڈ می پیسے، اشان جٹ
unknown,Last
unknown,السلام علیکم حاجی۔
unknown,بسم اللہ الرحمن الرحیم
unknown,transfer
unknown,Hello
unknown,زانا
unknown,دھماغہ جاگ۔
unknown,میری ہر دن کی ای ٹی ایم کی لیمٹ کتنی ہے؟
unknown,پچیا دےو۔
unknown,میرے دن کی اے ٹی ایم کی لیمٹ کتنی ہے؟
unknown,"Hey, what's my daily ATM limit?"
unknown,What's my daily ATM limit?
unknown,"Hey, what's my ATM limit?"
unknown,"Hey, what's my daily account and ATM limit?"
unknown,"Hello, how are you?"
unknown,ہلو
unknown,اس بالس۔
unknown,"Hello, what's up, how are you?"
unknown,اپن انویسٹمنٹ آپشن
unknown,View balance
unknown,Tell me about my balance.
unknown,Can talk with me?
unknown,"Hey, hey UBL AI, what do you can do for me?"
unknown,گلستان آئل ٹریڈرز
unknown,"Hello bank, give me"
unknown,پے ہنڈرڈ دو اتر.
unknown,Hello.
unknown,ہوا زریہ میری ہیلوں
unknown,اخوارگمت
unknown,Show me balance.
unknown,"Hello, what should I say?"
unknown,ایزی پیسہ
unknown,ایزی پیسہ
unknown,سیلیکٹ ایزی پیسہ
unknown,سیلیکٹ ایزی پیسہ
unknown,ATM card management
unknown,ہاں جی، یہ کیا حال ہے؟
unknown,چیک کرلیں
unknown,آپ کا کیا حال ہے؟
unknown,آپ کا کیا حال ہے؟
unknown,ہلو
unknown,فاروق احمّد اکاؤنٹ
unknown,فاروق احمد اکاؤنٹ
unknown,عبدالشکور
unknown,How to register another device?
unknown,No.
unknown,How to open my limit?
unknown,"Hi, what can you do for me?"
unknown,پہنیمان
unknown,پے ٹو کدھر ہدھیگی
unknown,شوم میں بلز
unknown,پہنیون
unknown,میرا ٹوٹل بیلنس کتنا ہے؟
unknown,How much is my total balance?
unknown,What is my account name?
unknown,یہ اوپن
unknown,Send money مشتاق احمد
unknown,اور اس کو۔
unknown,Hello
unknown,How to increase the limit?
unknown,کیا حال ہے ٹھیک ہو؟
unknown,سینڈو منی
unknown,Hello
unknown,Hello
unknown,Urdu
unknown,Is there any way to give money from Africa?
unknown,Send money.
unknown,افریقہ سے پیسے بھیجوائے جا سکتے ہیں کہ نہیں؟
unknown,یہاں افریقہ سے پیسے بھیجوائے جا سکتے ہیں یا نہیں؟
unknown,پیسے کیسے بھیجیں
unknown,How to upgrade your TA to higher level?
unknown,How to upgrade your TA to higher level?
unknown,Is my bank account working?
unknown,Is my bank account working?
unknown,ہے یو بیل
unknown,بی مصطفی میزان بیک
unknown,پے مصطفیٰ میزاں بینک
unknown,How I can apply a car from this UBL app?
unknown,سمی خان
unknown,سمی خان
unknown,Hello
